LDA_n_topics,learning_rate_init,hidden_layer_1_size,hidden_layer_2_size,alpha,max_n_gram,early_stopping,validation_fraction,max_features,token_pattern,avg_accuracy
121,0.00025847179699542395,266,33,0.00030365377792983646,2,1,0.1253120625773666,38113,1,0.8604618101484824
171,0.00021204740041304537,702,19,0.00019757483565150993,3,1,0.10510487359724503,36365,1,0.8589812672127831
65,0.0003910929325150015,554,22,0.0008497032486644362,3,1,0.09560714218170395,34488,1,0.8576532510020115
140,0.00028575005074539625,693,15,0.000609966122891151,2,1,0.2139614754015518,32592,1,0.8561724473591505
32,0.0007824602535634376,997,12,0.00030862058290492605,2,1,0.2188039683198792,35216,1,0.8557629285496177
12,0.0007625864877431873,650,25,0.0006004497369848997,2,1,0.19622434954024792,28363,1,0.8557120515470199
109,0.000580577544139236,421,13,0.0007772376715103766,2,1,0.11599638919748921,24449,1,0.8543324804950307
46,0.00017369825762498335,375,23,0.0007641400704308562,2,1,0.19618449531817278,26942,1,0.8538728668043852
48,0.0009143797546116636,439,27,0.0004788193000011592,3,1,0.10246138967167147,31105,1,0.8535678654959611
145,0.0001302144879362286,307,14,0.00022900735884825345,3,1,0.18042753482721668,34101,1,0.8521878773125133
64,0.00042551673401280504,550,2,0.0009284277321514447,3,1,0.19877980143440566,34631,1,0.8519828050591528
151,0.0009733812805334536,286,19,0.0005102898015193724,3,1,0.2501675386665227,33509,1,0.8512688063555192
88,0.0006323153527040654,611,22,0.000934882187589784,3,1,0.23161337444406532,30708,1,0.850145497408082
86,0.0006192122415760681,920,39,0.0003361482967700025,3,1,0.12139744933907322,20380,1,0.8493778582059373
23,0.0009086476519574351,635,25,0.0005952715164693902,3,1,0.08676941846030746,21617,1,0.8487656656489311
